MIRNA	HOST	HOST_EXPR	HOST_TC	TARGET	TAR_EXPR	TAR_TC	DELTAG
hsa-miR-26b-5p	CTDSP1	21.0	15	MEP1A	0.2	2	-14.64
hsa-miR-26b-5p	CTDSP1	21.0	15	NWD1	0.4	6	-11.09
hsa-miR-26b-5p	CTDSP1	21.0	15	TMEM208	11.0	12	-11.24
hsa-miR-26b-5p	CTDSP1	21.0	15	ANKRD52	6.0	4	-19.74
hsa-miR-26b-5p	CTDSP1	21.0	15	CASP4	7.0	14	-10.7
hsa-miR-26b-5p	CTDSP1	21.0	15	SSR3	39.0	9	-9.13
hsa-miR-26b-5p	CTDSP1	21.0	15	GPC4	5.0	1	-11.35
hsa-miR-26b-5p	CTDSP1	21.0	15	FN1	4.0	27	-10.0
hsa-miR-26b-5p	CTDSP1	21.0	15	ARF1	78.0	14	-11.79
hsa-miR-26b-5p	CTDSP1	21.0	15	MAN2A1	5.0	6	-12.39
hsa-miR-26b-5p	CTDSP1	21.0	15	IL12A	0.4	6	-11.62
hsa-miR-26b-5p	CTDSP1	21.0	15	AGPAT5	2.0	7	-12.36
hsa-miR-26b-5p	CTDSP1	21.0	15	NVL	3.0	24	-12.08
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF207	6.0	17	-17.53
hsa-miR-26b-5p	CTDSP1	21.0	15	STOML2	22.0	5	-11.38
hsa-miR-26b-5p	CTDSP1	21.0	15	GABRB3	0.4	16	-13.24
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF862	4.0	6	-7.64
hsa-miR-26b-5p	CTDSP1	21.0	15	EPHX1	62.0	6	-10.94
hsa-miR-26b-5p	CTDSP1	21.0	15	FKBP14	3.0	4	-11.12
hsa-miR-26b-5p	CTDSP1	21.0	15	TOB1	35.0	3	-13.05
hsa-miR-26b-5p	CTDSP1	21.0	15	MDH1	9.0	16	-7.32
hsa-miR-26b-5p	CTDSP1	21.0	15	EXOC6B	1.0	8	-13.52
hsa-miR-26b-5p	CTDSP1	21.0	15	CTH	3.0	5	-10.9
hsa-miR-26b-5p	CTDSP1	21.0	15	SLC5A3	0.8	1	-11.13
hsa-miR-26b-5p	CTDSP1	21.0	15	MEF2C	0.6	34	-15.19
hsa-miR-26b-5p	CTDSP1	21.0	15	TPRKB	5.0	10	-9.77
hsa-miR-26b-5p	CTDSP1	21.0	15	SPECC1L	3.0	7	-13.78
hsa-miR-26b-5p	CTDSP1	21.0	15	TRMT2A	9.0	20	-7.81
hsa-miR-26b-5p	CTDSP1	21.0	15	PLEKHA1	2.0	8	-10.24
hsa-miR-26b-5p	CTDSP1	21.0	15	ACSL3	3.0	11	-9.69
hsa-miR-26b-5p	CTDSP1	21.0	15	SCP2	6.0	16	-9.74
hsa-miR-26b-5p	CTDSP1	21.0	15	HPS4	5.0	18	-13.45
hsa-miR-26b-5p	CTDSP1	21.0	15	POLR2E	9.0	14	-10.75
hsa-miR-26b-5p	CTDSP1	21.0	15	SLC25A44	2.0	5	-8.68
hsa-miR-26b-5p	CTDSP1	21.0	15	KANSL3	6.0	20	-7.67
hsa-miR-26b-5p	CTDSP1	21.0	15	ACVR1B	10.0	7	-19.33
hsa-miR-26b-5p	CTDSP1	21.0	15	GALNT7	5.0	7	-9.15
hsa-miR-26b-5p	CTDSP1	21.0	15	DERL1	5.0	6	-11.63
hsa-miR-26b-5p	CTDSP1	21.0	15	KAT2B	4.0	5	-15.45
hsa-miR-26b-5p	CTDSP1	21.0	15	CDH1	30.0	14	-10.57
hsa-miR-26b-5p	CTDSP1	21.0	15	IGHMBP2	3.0	12	-10.74
hsa-miR-26b-5p	CTDSP1	21.0	15	ARNTL2	0.4	9	-14.92
hsa-miR-26b-5p	CTDSP1	21.0	15	PDE4B	0.2	18	-15.16
hsa-miR-26b-5p	CTDSP1	21.0	15	BNC1	0.0	3	-12.2
hsa-miR-26b-5p	CTDSP1	21.0	15	SOX5	0.1	16	-13.51
hsa-miR-26b-5p	CTDSP1	21.0	15	SLC30A10	0.0	4	-8.61
hsa-miR-26b-5p	CTDSP1	21.0	15	PDE4DIP	2.0	50	-13.46
hsa-miR-26b-5p	CTDSP1	21.0	15	TRIOBP	1.0	11	-10.09
hsa-miR-26b-5p	CTDSP1	21.0	15	KIAA1033	5.0	14	-13.21
hsa-miR-26b-5p	CTDSP1	21.0	15	DCAF8	15.0	18	-9.22
hsa-miR-26b-5p	CTDSP1	21.0	15	TRANK1	1.0	3	-16.0
hsa-miR-26b-5p	CTDSP1	21.0	15	AKIRIN1	8.0	4	-10.52
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF136	3.0	6	-9.85
hsa-miR-26b-5p	CTDSP1	21.0	15	IFNG	0.0	1	-10.53
hsa-miR-26b-5p	CTDSP1	21.0	15	RNASEH1	3.0	4	-13.77
hsa-miR-26b-5p	CTDSP1	21.0	15	CHORDC1	2.0	11	-14.29
hsa-miR-26b-5p	CTDSP1	21.0	15	SLBP	8.0	6	-13.27
hsa-miR-26b-5p	CTDSP1	21.0	15	SEC61A2	2.0	14	-9.66
hsa-miR-26b-5p	CTDSP1	21.0	15	DHODH	1.0	9	-7.66
hsa-miR-26b-5p	CTDSP1	21.0	15	WNT5A	1.0	8	-13.33
hsa-miR-26b-5p	CTDSP1	21.0	15	NCAM2	0.0	5	-11.36
hsa-miR-26b-5p	CTDSP1	21.0	15	ALG1	3.0	8	-7.9
hsa-miR-26b-5p	CTDSP1	21.0	15	RASGRP3	0.7	18	-14.29
hsa-miR-26b-5p	CTDSP1	21.0	15	NSL1	2.0	6	-10.97
hsa-miR-26b-5p	CTDSP1	21.0	15	TMEM254	5.0	13	-9.96
hsa-miR-26b-5p	CTDSP1	21.0	15	PDHX	4.0	8	-13.73
hsa-miR-26b-5p	CTDSP1	21.0	15	MT1M	17.0	2	-9.32
hsa-miR-26b-5p	CTDSP1	21.0	15	PCDHB8	0.1	1	-7.72
hsa-miR-26b-5p	CTDSP1	21.0	15	AQR	2.0	6	-14.04
hsa-miR-26b-5p	CTDSP1	21.0	15	CLIC2	1.0	4	-11.83
hsa-miR-26b-5p	CTDSP1	21.0	15	ERAP2	0.9	11	-15.27
hsa-miR-26b-5p	CTDSP1	21.0	15	KIAA0922	9.0	8	-17.5
hsa-miR-26b-5p	CTDSP1	21.0	15	OXA1L	22.0	13	-9.93
hsa-miR-26b-5p	CTDSP1	21.0	15	RPL6	116.0	13	-9.83
hsa-miR-26b-5p	CTDSP1	21.0	15	MNDA	0.6	3	-9.06
hsa-miR-26b-5p	CTDSP1	21.0	15	ZBTB38	3.0	20	-10.52
hsa-miR-26b-5p	CTDSP1	21.0	15	CATSPERB	3.0	8	-11.51
hsa-miR-26b-5p	CTDSP1	21.0	15	AKAP5	0.2	2	-9.86
hsa-miR-26b-5p	CTDSP1	21.0	15	CNTLN	0.4	4	-9.43
hsa-miR-26b-5p	CTDSP1	21.0	15	ARL5A	2.0	7	-9.38
hsa-miR-26b-5p	CTDSP1	21.0	15	WDR91	12.0	9	-10.5
hsa-miR-26b-5p	CTDSP1	21.0	15	SUN1	8.0	35	-9.74
hsa-miR-26b-5p	CTDSP1	21.0	15	CTNS	11.0	10	-10.34
hsa-miR-26b-5p	CTDSP1	21.0	15	NAP1L1	7.0	27	-25.37
hsa-miR-26b-5p	CTDSP1	21.0	15	EIF1AY	2.0	5	-8.85
hsa-miR-26b-5p	CTDSP1	21.0	15	CAAP1	4.0	6	-11.32
hsa-miR-26b-5p	CTDSP1	21.0	15	NKX2-5	0.0	4	-7.34
hsa-miR-26b-5p	CTDSP1	21.0	15	UNC13A	0.5	8	-11.24
hsa-miR-26b-5p	CTDSP1	21.0	15	FAM198B	2.0	9	-9.71
hsa-miR-26b-5p	CTDSP1	21.0	15	DEC1	0.0		-9.82
hsa-miR-26b-5p	CTDSP1	21.0	15	NABP1	0.8	10	-14.89
hsa-miR-26b-5p	CTDSP1	21.0	15	COX5A	35.0	6	-9.37
hsa-miR-26b-5p	CTDSP1	21.0	15	FBXO28	2.0	5	-16.85
hsa-miR-26b-5p	CTDSP1	21.0	15	PDE4C	0.2	17	-11.57
hsa-miR-26b-5p	CTDSP1	21.0	15	NFE2L2	7.0	14	-8.05
hsa-miR-26b-5p	CTDSP1	21.0	15	ELF4	1.0	4	-11.69
hsa-miR-26b-5p	CTDSP1	21.0	15	B3GALT1	0.2	1	-12.6
hsa-miR-26b-5p	CTDSP1	21.0	15	TSKU	5.0	5	-9.12
hsa-miR-26b-5p	CTDSP1	21.0	15	TADA3	8.0	6	-9.63
hsa-miR-26b-5p	CTDSP1	21.0	15	RAD51D	0.8	23	-10.55
hsa-miR-26b-5p	CTDSP1	21.0	15	ERC1	1.0	25	-14.1
hsa-miR-26b-5p	CTDSP1	21.0	15	ERAP1	4.0	9	-14.94
hsa-miR-26b-5p	CTDSP1	21.0	15	FOXE1	0.0	1	-20.78
hsa-miR-26b-5p	CTDSP1	21.0	15	DDX6	5.0	8	-14.56
hsa-miR-26b-5p	CTDSP1	21.0	15	EP300	6.0	1	-10.23
hsa-miR-26b-5p	CTDSP1	21.0	15	LIF	0.7	2	-11.35
hsa-miR-26b-5p	CTDSP1	21.0	15	FAM135A	1.0	16	-9.21
hsa-miR-26b-5p	CTDSP1	21.0	15	UGGT1	6.0	7	-9.96
hsa-miR-26b-5p	CTDSP1	21.0	15	SFMBT1	3.0	8	-13.56
hsa-miR-26b-5p	CTDSP1	21.0	15	ZFY	1.0	7	-12.29
hsa-miR-26b-5p	CTDSP1	21.0	15	DCSTAMP	0.0	8	-10.69
hsa-miR-26b-5p	CTDSP1	21.0	15	CDC14B	2.0	13	-9.64
hsa-miR-26b-5p	CTDSP1	21.0	15	ALKBH4	2.0	3	-10.25
hsa-miR-26b-5p	CTDSP1	21.0	15	SOWAHC	1.0	1	-11.01
hsa-miR-26b-5p	CTDSP1	21.0	15	HSPA13	4.0	2	-11.63
hsa-miR-26b-5p	CTDSP1	21.0	15	MREG	1.0	5	-11.29
hsa-miR-26b-5p	CTDSP1	21.0	15	GSK3B	3.0	4	-14.42
hsa-miR-26b-5p	CTDSP1	21.0	15	ARPC5	8.0	5	-14.43
hsa-miR-26b-5p	CTDSP1	21.0	15	RPA3	2.0	7	-7.79
hsa-miR-26b-5p	CTDSP1	21.0	15	ZDHHC7	9.0	8	-9.77
hsa-miR-26b-5p	CTDSP1	21.0	15	ADAM17	2.0	4	-14.24
hsa-miR-26b-5p	CTDSP1	21.0	15	ICMT	7.0	4	-12.02
hsa-miR-26b-5p	CTDSP1	21.0	15	LRRTM4	0.1	7	-9.9
hsa-miR-26b-5p	CTDSP1	21.0	15	BMPR1A	2.0	2	-11.55
hsa-miR-26b-5p	CTDSP1	21.0	15	CIAO1	11.0	4	-7.66
hsa-miR-26b-5p	CTDSP1	21.0	15	SLC10A3	9.0	5	-10.03
hsa-miR-26b-5p	CTDSP1	21.0	15	HOXA9	0.0	6	-11.89
hsa-miR-26b-5p	CTDSP1	21.0	15	DNAJA3	5.0	13	-9.96
hsa-miR-26b-5p	CTDSP1	21.0	15	PLXNA4	0.2	5	-11.4
hsa-miR-26b-5p	CTDSP1	21.0	15	ABCF1	11.0	7	-11.42
hsa-miR-26b-5p	CTDSP1	21.0	15	AOX1	33.0	8	-11.93
hsa-miR-26b-5p	CTDSP1	21.0	15	DSCC1	1.0	2	-7.42
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF84	3.0	16	-14.17
hsa-miR-26b-5p	CTDSP1	21.0	15	EPB41L3	0.8	35	-12.77
hsa-miR-26b-5p	CTDSP1	21.0	15	DMXL2	2.0	14	-11.66
hsa-miR-26b-5p	CTDSP1	21.0	15	GREM2	0.0	1	-9.85
hsa-miR-26b-5p	CTDSP1	21.0	15	SMYD2	5.0	6	-15.62
hsa-miR-26b-5p	CTDSP1	21.0	15	PMAIP1	0.3	3	-11.53
hsa-miR-26b-5p	CTDSP1	21.0	15	ZC3H4	4.0	5	-12.7
hsa-miR-26b-5p	CTDSP1	21.0	15	GREB1L	0.0	11	-11.82
hsa-miR-26b-5p	CTDSP1	21.0	15	BMPR2	2.0	3	-13.73
hsa-miR-26b-5p	CTDSP1	21.0	15	KIAA1024	0.8	2	-15.26
hsa-miR-26b-5p	CTDSP1	21.0	15	TNRC6A	6.0	17	-13.22
hsa-miR-26b-5p	CTDSP1	21.0	15	RAB11FIP1	12.0	6	-11.05
hsa-miR-26b-5p	CTDSP1	21.0	15	TAGLN3	0.5	8	-10.17
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF549	0.6	4	-9.85
hsa-miR-26b-5p	CTDSP1	21.0	15	MANF	23.0	4	-8.81
hsa-miR-26b-5p	CTDSP1	21.0	15	TTK	0.1	11	-11.76
hsa-miR-26b-5p	CTDSP1	21.0	15	SF3B3	5.0	15	-9.7
hsa-miR-26b-5p	CTDSP1	21.0	15	LIG4	3.0	5	-9.82
hsa-miR-26b-5p	CTDSP1	21.0	15	PDGFRL	2.0	3	-10.88
hsa-miR-26b-5p	CTDSP1	21.0	15	GDE1	8.0	5	-14.27
hsa-miR-26b-5p	CTDSP1	21.0	15	RRP15	1.0	2	-11.32
hsa-miR-26b-5p	CTDSP1	21.0	15	SEPT7	4.0		-11.93
hsa-miR-26b-5p	CTDSP1	21.0	15	PMPCA	5.0	12	-13.41
hsa-miR-26b-5p	CTDSP1	21.0	15	CHD9	2.0	22	-10.71
hsa-miR-26b-5p	CTDSP1	21.0	15	DNAJC11	4.0	11	-12.89
hsa-miR-26b-5p	CTDSP1	21.0	15	ARMC8	2.0	23	-13.93
hsa-miR-26b-5p	CTDSP1	21.0	15	ABCD4	4.0	28	-10.31
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF556	0.3	3	-9.85
hsa-miR-26b-5p	CTDSP1	21.0	15	TOX	0.5	1	-15.78
hsa-miR-26b-5p	CTDSP1	21.0	15	MATR3	8.0	13	-14.49
hsa-miR-26b-5p	CTDSP1	21.0	15	EPHA2	4.0	4	-11.62
hsa-miR-26b-5p	CTDSP1	21.0	15	ACBD5	3.0	8	-15.58
hsa-miR-26b-5p	CTDSP1	21.0	15	EP400	3.0	9	-9.37
hsa-miR-26b-5p	CTDSP1	21.0	15	CCR6	0.0	3	-10.08
hsa-miR-26b-5p	CTDSP1	21.0	15	CISH	3.0	3	-8.88
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF324B	1.0	6	-7.91
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF451	1.0	18	-14.48
hsa-miR-26b-5p	CTDSP1	21.0	15	NOC3L	2.0	3	-8.48
hsa-miR-26b-5p	CTDSP1	21.0	15	TSHZ1	2.0	5	-12.72
hsa-miR-26b-5p	CTDSP1	21.0	15	TMCC1	2.0	14	-16.23
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF347	1.0	8	-11.01
hsa-miR-26b-5p	CTDSP1	21.0	15	PRKAA1	8.0	9	-11.81
hsa-miR-26b-5p	CTDSP1	21.0	15	SUPT3H	1.0	6	-8.53
hsa-miR-26b-5p	CTDSP1	21.0	15	GRTP1	2.0	5	-10.44
hsa-miR-26b-5p	CTDSP1	21.0	15	EIF5	13.0	21	-14.82
hsa-miR-26b-5p	CTDSP1	21.0	15	TRMT11	3.0	11	-7.3
hsa-miR-26b-5p	CTDSP1	21.0	15	ADGB	0.0	12	-10.9
hsa-miR-26b-5p	CTDSP1	21.0	15	MAT2A	134.0	6	-13.99
hsa-miR-26b-5p	CTDSP1	21.0	15	ZBTB25	2.0	4	-12.94
hsa-miR-26b-5p	CTDSP1	21.0	15	TFB2M	6.0	1	-12.91
hsa-miR-26b-5p	CTDSP1	21.0	15	ABCA1	2.0	4	-11.72
hsa-miR-26b-5p	CTDSP1	21.0	15	RAB8A	2.0	7	-11.43
hsa-miR-26b-5p	CTDSP1	21.0	15	RCOR1	3.0	4	-14.0
hsa-miR-26b-5p	CTDSP1	21.0	15	UBE2K	6.0	7	-12.3
hsa-miR-26b-5p	CTDSP1	21.0	15	BID	2.0	15	-10.75
hsa-miR-26b-5p	CTDSP1	21.0	15	AFAP1	1.0	10	-14.33
hsa-miR-26b-5p	CTDSP1	21.0	15	CNNM2	0.7	4	-15.11
hsa-miR-26b-5p	CTDSP1	21.0	15	VANGL1	1.0	6	-12.36
hsa-miR-26b-5p	CTDSP1	21.0	15	LMAN2L	5.0	9	-12.03
hsa-miR-26b-5p	CTDSP1	21.0	15	KIF21B	0.3	5	-13.99
hsa-miR-26b-5p	CTDSP1	21.0	15	SMPD3	1.0	12	-8.58
hsa-miR-26b-5p	CTDSP1	21.0	15	NUS1	8.0	1	-11.62
hsa-miR-26b-5p	CTDSP1	21.0	15	TNKS1BP1	15.0	7	-9.22
hsa-miR-26b-5p	CTDSP1	21.0	15	SP4	0.8	4	-7.38
hsa-miR-26b-5p	CTDSP1	21.0	15	NSMAF	6.0	17	-8.18
hsa-miR-26b-5p	CTDSP1	21.0	15	LTA4H	8.0	10	-7.52
hsa-miR-26b-5p	CTDSP1	21.0	15	DDIT4	124.0	3	-15.94
hsa-miR-26b-5p	CTDSP1	21.0	15	IGSF3	0.9	4	-8.98
hsa-miR-26b-5p	CTDSP1	21.0	15	SHFM1	2.0	24	-8.54
hsa-miR-26b-5p	CTDSP1	21.0	15	MEF2D	9.0	7	-9.9
hsa-miR-26b-5p	CTDSP1	21.0	15	COL12A1	1.0	11	-13.48
hsa-miR-26b-5p	CTDSP1	21.0	15	GINS1	0.1	4	-10.09
hsa-miR-26b-5p	CTDSP1	21.0	15	MAST4	1.0	21	-12.86
hsa-miR-26b-5p	CTDSP1	21.0	15	ARAP2	1.0	10	-14.41
hsa-miR-26b-5p	CTDSP1	21.0	15	RBM48	2.0	4	-9.93
hsa-miR-26b-5p	CTDSP1	21.0	15	FBXO11	3.0	11	-12.4
hsa-miR-26b-5p	CTDSP1	21.0	15	TBC1D13	8.0	4	-12.75
hsa-miR-26b-5p	CTDSP1	21.0	15	PRKCD	9.0	6	-17.26
hsa-miR-26b-5p	CTDSP1	21.0	15	BMP2K	0.4	8	-15.89
hsa-miR-26b-5p	CTDSP1	21.0	15	SAFB	9.0	14	-12.04
hsa-miR-26b-5p	CTDSP1	21.0	15	MFHAS1	2.0	4	-17.07
hsa-miR-26b-5p	CTDSP1	21.0	15	GSR	9.0	6	-14.27
hsa-miR-26b-5p	CTDSP1	21.0	15	WNK1	3.0	21	-9.79
hsa-miR-26b-5p	CTDSP1	21.0	15	TM9SF3	18.0	6	-11.84
hsa-miR-26b-5p	CTDSP1	21.0	15	MANSC1	4.0	4	-9.38
hsa-miR-26b-5p	CTDSP1	21.0	15	IFI16	3.0	14	-7.54
hsa-miR-26b-5p	CTDSP1	21.0	15	PKD2	5.0	7	-15.82
hsa-miR-26b-5p	CTDSP1	21.0	15	MARC2	9.0		-13.42
hsa-miR-26b-5p	CTDSP1	21.0	15	PRSS16	7.0	20	-11.73
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF672	6.0	7	-9.2
hsa-miR-26b-5p	CTDSP1	21.0	15	TMC7	0.2	5	-12.41
hsa-miR-26b-5p	CTDSP1	21.0	15	DGKZ	7.0	24	-9.9
hsa-miR-26b-5p	CTDSP1	21.0	15	ZDHHC18	3.0	5	-14.18
hsa-miR-26b-5p	CTDSP1	21.0	15	ST18	0.2	24	-14.61
hsa-miR-26b-5p	CTDSP1	21.0	15	DDX25	0.2	8	-9.96
hsa-miR-26b-5p	CTDSP1	21.0	15	QPRT	8.0	4	-8.32
hsa-miR-26b-5p	CTDSP1	21.0	15	CHST12	4.0	4	-10.29
hsa-miR-26b-5p	CTDSP1	21.0	15	MADD	5.0	22	-22.22
hsa-miR-26b-5p	CTDSP1	21.0	15	RNF144A	12.0	7	-6.59
hsa-miR-26b-5p	CTDSP1	21.0	15	CMTM6	6.0	3	-9.6
hsa-miR-26b-5p	CTDSP1	21.0	15	CST3	60.0	3	-12.85
hsa-miR-26b-5p	CTDSP1	21.0	15	RBM41	1.0	8	-9.89
hsa-miR-26b-5p	CTDSP1	21.0	15	DCBLD2	1.0	10	-15.28
hsa-miR-26b-5p	CTDSP1	21.0	15	SF3B2	14.0	17	-14.37
hsa-miR-26b-5p	CTDSP1	21.0	15	VIPAS39	4.0	11	-9.11
hsa-miR-26b-5p	CTDSP1	21.0	15	EMC7	17.0	4	-8.11
hsa-miR-26b-5p	CTDSP1	21.0	15	N6AMT1	2.0	3	-8.07
hsa-miR-26b-5p	CTDSP1	21.0	15	FIG4	3.0	5	-14.29
hsa-miR-26b-5p	CTDSP1	21.0	15	COX7A2L	7.0	8	-9.15
hsa-miR-26b-5p	CTDSP1	21.0	15	GFOD1	0.5	6	-11.08
hsa-miR-26b-5p	CTDSP1	21.0	15	KLHDC10	6.0	4	-16.07
hsa-miR-26b-5p	CTDSP1	21.0	15	GDI1	15.0	15	-8.37
hsa-miR-26b-5p	CTDSP1	21.0	15	CCL2	13.0	4	-12.81
hsa-miR-26b-5p	CTDSP1	21.0	15	TAF9	0.3	5	-10.37
hsa-miR-26b-5p	CTDSP1	21.0	15	TRIM13	2.0	8	-8.76
hsa-miR-26b-5p	CTDSP1	21.0	15	C1D	2.0	7	-10.45
hsa-miR-26b-5p	CTDSP1	21.0	15	PLCB4	0.5	13	-15.7
hsa-miR-26b-5p	CTDSP1	21.0	15	GCNT2	0.4	17	-7.59
hsa-miR-26b-5p	CTDSP1	21.0	15	DUSP12	5.0	5	-6.95
hsa-miR-26b-5p	CTDSP1	21.0	15	POLE3	10.0	4	-8.81
hsa-miR-26b-5p	CTDSP1	21.0	15	TEX2	5.0	10	-11.42
hsa-miR-26b-5p	CTDSP1	21.0	15	IGFBP4	63.0	1	-10.7
hsa-miR-26b-5p	CTDSP1	21.0	15	C1orf216	3.0	3	-11.66
hsa-miR-26b-5p	CTDSP1	21.0	15	ANKRD46	3.0	11	-10.13
hsa-miR-26b-5p	CTDSP1	21.0	15	LRPAP1	10.0	4	-9.96
hsa-miR-26b-5p	CTDSP1	21.0	15	BCHE	0.2	5	-12.75
hsa-miR-26b-5p	CTDSP1	21.0	15	RCBTB1	5.0	4	-13.36
hsa-miR-26b-5p	CTDSP1	21.0	15	TCTN2	2.0	4	-12.42
hsa-miR-26b-5p	CTDSP1	21.0	15	PPP2R5D	9.0	9	-8.44
hsa-miR-26b-5p	CTDSP1	21.0	15	MSMO1	6.0	5	-14.57
hsa-miR-26b-5p	CTDSP1	21.0	15	PLGRKT	3.0	4	-9.21
hsa-miR-26b-5p	CTDSP1	21.0	15	VCP	24.0	7	-7.21
hsa-miR-26b-5p	CTDSP1	21.0	15	OSTF1	8.0	1	-7.59
hsa-miR-26b-5p	CTDSP1	21.0	15	TPD52L2	11.0	10	-12.87
hsa-miR-26b-5p	CTDSP1	21.0	15	CCDC15	0.3	4	-9.11
hsa-miR-26b-5p	CTDSP1	21.0	15	CPA4	5.0	11	-8.85
hsa-miR-26b-5p	CTDSP1	21.0	15	SSX2IP	0.7	10	-12.36
hsa-miR-26b-5p	CTDSP1	21.0	15	FKTN	2.0	9	-11.94
hsa-miR-26b-5p	CTDSP1	21.0	15	RHCG	1.0	6	-7.5
hsa-miR-26b-5p	CTDSP1	21.0	15	CPN2	0.0	2	-6.66
hsa-miR-26b-5p	CTDSP1	21.0	15	AGT	3.0	1	-12.34
hsa-miR-26b-5p	CTDSP1	21.0	15	CCDC25	5.0	11	-7.79
hsa-miR-26b-5p	CTDSP1	21.0	15	DEPDC1	0.0	5	-10.5
hsa-miR-26b-5p	CTDSP1	21.0	15	BLOC1S2	4.0	6	-16.59
hsa-miR-26b-5p	CTDSP1	21.0	15	SFXN1	2.0	12	-11.36
hsa-miR-26b-5p	CTDSP1	21.0	15	REPIN1	20.0	19	-6.86
hsa-miR-26b-5p	CTDSP1	21.0	15	BCL11B	0.1	3	-8.88
hsa-miR-26b-5p	CTDSP1	21.0	15	CD36	2.0	23	-14.71
hsa-miR-26b-5p	CTDSP1	21.0	15	USP3	5.0	21	-12.93
hsa-miR-26b-5p	CTDSP1	21.0	15	FGF23	0.0	1	-11.04
hsa-miR-26b-5p	CTDSP1	21.0	15	USP32P1	0.5	11	-8.63
hsa-miR-26b-5p	CTDSP1	21.0	15	CCNL2	35.0	20	-15.9
hsa-miR-26b-5p	CTDSP1	21.0	15	HAUS8	0.4	8	-15.39
hsa-miR-26b-5p	CTDSP1	21.0	15	EIF4G2	35.0	31	-12.61
hsa-miR-26b-5p	CTDSP1	21.0	15	FRAT2	6.0	1	-11.5
hsa-miR-26b-5p	CTDSP1	21.0	15	MCL1	63.0	4	-10.43
hsa-miR-26b-5p	CTDSP1	21.0	15	SERP1	50.0	8	-13.77
hsa-miR-26b-5p	CTDSP1	21.0	15	OTUD1	3.0	1	-10.74
hsa-miR-26b-5p	CTDSP1	21.0	15	DCHS2	0.0	8	-9.69
hsa-miR-26b-5p	CTDSP1	21.0	15	HSPA12A	0.9	4	-9.48
hsa-miR-26b-5p	CTDSP1	21.0	15	MYBBP1A	12.0	13	-10.38
hsa-miR-26b-5p	CTDSP1	21.0	15	TNFRSF11A	0.4	6	-10.16
hsa-miR-26b-5p	CTDSP1	21.0	15	MED23	5.0	9	-11.81
hsa-miR-26b-5p	CTDSP1	21.0	15	ADPGK	9.0	14	-12.23
hsa-miR-26b-5p	CTDSP1	21.0	15	RNF111	2.0	12	-8.81
hsa-miR-26b-5p	CTDSP1	21.0	15	KCNH4	0.0	2	-15.12
hsa-miR-26b-5p	CTDSP1	21.0	15	ITGAX	0.9	7	-9.55
hsa-miR-26b-5p	CTDSP1	21.0	15	CHST7	0.9	1	-7.53
hsa-miR-26b-5p	CTDSP1	21.0	15	CHM	1.0	5	-12.82
hsa-miR-26b-5p	CTDSP1	21.0	15	PRR5L	0.2	20	-17.77
hsa-miR-26b-5p	CTDSP1	21.0	15	KRTAP5-7	0.0	1	-16.52
hsa-miR-26b-5p	CTDSP1	21.0	15	ACE2	0.9	5	-12.26
hsa-miR-26b-5p	CTDSP1	21.0	15	GGA3	7.0	23	-17.92
hsa-miR-26b-5p	CTDSP1	21.0	15	TRPC4	0.3	10	-11.49
hsa-miR-26b-5p	CTDSP1	21.0	15	KIAA1324	22.0	14	-12.84
hsa-miR-26b-5p	CTDSP1	21.0	15	TPM3	10.0	23	-12.59
hsa-miR-26b-5p	CTDSP1	21.0	15	ADAP2	0.9	11	-10.9
hsa-miR-26b-5p	CTDSP1	21.0	15	RB1	2.0	6	-13.64
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF551	0.9	4	-12.39
hsa-miR-26b-5p	CTDSP1	21.0	15	RASSF9	0.6	1	-6.95
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF860	0.1	2	-9.21
hsa-miR-26b-5p	CTDSP1	21.0	15	MXI1	7.0	10	-11.18
hsa-miR-26b-5p	CTDSP1	21.0	15	PTPN1	7.0	2	-8.78
hsa-miR-26b-5p	CTDSP1	21.0	15	CACNA1S	0.0	2	-9.39
hsa-miR-26b-5p	CTDSP1	21.0	15	THAP10	0.4	2	-11.4
hsa-miR-26b-5p	CTDSP1	21.0	15	FZD5	4.0	1	-10.66
hsa-miR-26b-5p	CTDSP1	21.0	15	GDF11	0.5	2	-10.4
hsa-miR-26b-5p	CTDSP1	21.0	15	PRR7	1.0	4	-7.28
hsa-miR-26b-5p	CTDSP1	21.0	15	RUVBL1	2.0	8	-9.63
hsa-miR-26b-5p	CTDSP1	21.0	15	ITGA3	4.0	16	-7.42
hsa-miR-26b-5p	CTDSP1	21.0	15	ZNF772	0.6	9	-10.22
hsa-miR-26b-5p	CTDSP1	21.0	15	MRM1	3.0	2	-15.26
hsa-miR-26b-5p	CTDSP1	21.0	15	NFKB1	5.0	12	-10.23
