Gene ID	Gene Name	HUP-T4	KLM-1	MIA Paca-2	PK-45H	PK-45P	PK-59	PK-8	TCC-PAN2	YAPC
ENSG00000114391	RPL24	140	137	223	90	99	128	95	146	169
ENSG00000114395	CYB561D2	6	4	3	8	6	7	3	9	4
ENSG00000114405	C3orf14	1	3		2		5	1	0.6	1
ENSG00000114416	FXR1	14	10	31	22	14	9	4	17	15
ENSG00000114423	CBLB	3	2	0.2	2	4	2	0.7	2	0.7
ENSG00000114439	BBX	8	11	1	11	17	3	8	3	8
ENSG00000114446	IFT57	5	16	10	6	10	4	10	4	16
ENSG00000114450	GNB4	6	0.4					2	3	4
ENSG00000114455	HHLA2						0.5		18	0.1
ENSG00000114473	IQCG	0.4	2	2	0.5	1	0.3	0.9	0.7	1
ENSG00000114480	GBE1	6	12	45	11	8	29	14	8	5
ENSG00000114491	UMPS	19	19	21	10	18	13	9	16	13
ENSG00000114503	NCBP2	21	18	37	15	10	16	30	31	21
ENSG00000114520	SNX4	16	16	27	9	17	7	15	9	10
ENSG00000114529	C3orf52	4	5	1	2	2	1	4	0.9	4
ENSG00000114541	FRMD4B	3	6	0.1	0.9	0.3	3	1	1	2
ENSG00000114544	SLC41A3	9	6	8	7	6	5	12	3	9
ENSG00000114547	ROPN1B		0.1	0.1	0.1			0.1		0.2
ENSG00000114554	PLXNA1	38	18	21	11	121	30	69	13	37
ENSG00000114573	ATP6V1A	17	15	18	14	23	11	33	10	16
ENSG00000114626	ABTB1	8	2	2	3	1	12	1	1	3
ENSG00000114631	PODXL2	14	15	16	0.2	0.2	0.3	23	0.1	5
ENSG00000114638	UPK1B	8	12	0.1	0.1		11	0.3	197	1
ENSG00000114646	CSPG5	0.6	0.6	2	1	0.1	0.5	2	0.1	0.3
ENSG00000114648	KLHL18	3	3	4	5	3	7	10	3	2
ENSG00000114650	SCAP	14	14	14	14	8	22	32	11	13
ENSG00000114654	EFCC1		0.8	0.2			0.5	0.1	0.3	0.5
ENSG00000114656	KIAA1257	0.1	0.6	0.1	0.1	0.1	0.5	0.1	0.4	0.5
ENSG00000114670	NEK11	0.3	2	0.7	0.7	0.7	0.4	1	0.2	3
ENSG00000114686	MRPL3	42	54	80	34	48	42	80	38	40
ENSG00000114698	PLSCR4	1	0.8		2	4			6	3
ENSG00000114735	HEMK1	2	2	1	4	1	3	1	1	2
ENSG00000114737	CISH	0.3	0.5	0.1	0.4	0.3	0.8	0.7	0.1	0.5
ENSG00000114738	MAPKAPK3	14	19	4	26	18	33	15	38	8
ENSG00000114739	ACVR2B	1	0.8	0.6	0.6	0.3	2	0.8	0.2	0.9
ENSG00000114742	WDR48	11	4	6	5	3	8	10	2	3
ENSG00000114744	COMMD2	6	7	9	6	7	6	7	9	6
ENSG00000114745	GORASP1	18	7	4	9	5	10	20	5	6
ENSG00000114757	PEX5L								0.2	
ENSG00000114767	RRP9	28	25	29	34	19	35	23	39	22
ENSG00000114770	ABCC5	8	5	6	5	2	5	6	2	2
ENSG00000114771	AADAC	0.3	0.6		2	3	0.5	16	6	1
ENSG00000114779	ABHD14B	8	13	24	25	12	13	9	32	14
ENSG00000114784	EIF1B	11	11	8	11	6	17	29	9	11
ENSG00000114786	ABHD14A-ACY1	0.2	0.1	0.1	0.2		0.3	0.1	0.2	
ENSG00000114790	ARHGEF26	0.9	0.6	5	2	0.5	5	0.4	13	0.5
ENSG00000114796	KLHL24	2	3	5	3	0.9	1	0.3	0.2	3
ENSG00000114805	PLCH1	1		0.3	0.4	0.1			2	4
ENSG00000114812	VIPR1	1	5		18	51	2	0.9	4	2
ENSG00000114841	DNAH1	0.4	0.2	0.6	0.2	0.2	0.4	0.4	1	0.1
ENSG00000114850	SSR3	31	35	32	73	35	22	44	62	25
ENSG00000114853	ZBTB47	3	1	1	7	3	2	3	2	0.8
ENSG00000114854	TNNC1	19	0.9	0.2	0.6	0.1	3	1	0.9	1
ENSG00000114857	NKTR	6	4	4	8	3	5	4	3	2
ENSG00000114859	CLCN2	3	2	4	4	2	2	3	15	2
ENSG00000114861	FOXP1	11	3	0.6	1	2	3	1	1	6
ENSG00000114867	EIF4G1	124	133	155	103	120	102	138	168	98
ENSG00000114902	SPCS1	11	16	13	11	7	16	28	14	13
ENSG00000114904	NEK4	4	5	5	5	3	6	8	2	3
ENSG00000114923	SLC4A3	3	4	3	1	0.3	0.7	2	0.2	3
ENSG00000114933	INO80D	2	1	2	2	2	1	1	1	1
ENSG00000114942	EEF1B2	203	151	240	143	108	183	217	286	196
ENSG00000114948	ADAM23	7	0.5				0.1	0.2	0.1	39
ENSG00000114956	DGUOK	15	44	32	22	33	29	24	32	31
ENSG00000114978	MOB1A	30	37	37	23	36	26	26	23	27
ENSG00000114982	KANSL3	6	6	9	11	10	7	9	9	8
ENSG00000114988	LMAN2L	8	11	14	17	18	10	13	14	9
ENSG00000114993	RTKN	7	8	4	4	6	10	8	19	7
ENSG00000114999	TTL	0.8	4	9	9	6	2	7	5	2
ENSG00000115008	IL1A	2	22	0.3	18	12	0.9	34		0.4
ENSG00000115009	CCL20	0.4	2		0.4	0.7		0.2	0.3	0.3
ENSG00000115020	PIKFYVE	4	3	10	5	4	3	3	3	3
ENSG00000115041	KCNIP3		0.1	1	4	0.2	0.3	0.1	0.3	0.1
ENSG00000115042	FAHD2A	1	5	3	7	5	2	3	4	3
ENSG00000115053	NCL	161	189	344	169	188	174	225	222	168
ENSG00000115073	ACTR1B	15	17	13	17	23	18	25	20	29
ENSG00000115084	SLC35F5	6	9	9	8	7	6	9	11	6
ENSG00000115085	ZAP70						0.1			
ENSG00000115091	ACTR3	26	31	22	36	38	20	38	29	25
ENSG00000115107	STEAP3	22	8	7	38	36	26	32	20	27
ENSG00000115109	EPB41L5	2	2	5	2	0.9	2	1	0.8	3
ENSG00000115112	TFCP2L1	1	1	0.6	3	15	1	1	0.2	1
ENSG00000115128	SF3B6	35	67	133	33	27	30	50	42	53
ENSG00000115129	TP53I3	5	9	13	3	4	3	11	12	20
ENSG00000115137	DNAJC27	0.5	0.8	1	1	0.4	0.5	0.9	0.4	0.9
ENSG00000115145	STAM2	5	3	3	4	5	3	3	4	6
ENSG00000115155	OTOF									0.1
ENSG00000115159	GPD2	17	11	11	13	26	8	19	20	8
ENSG00000115163	CENPA	12	13	17	16	17	11	12	8	14
ENSG00000115165	CYTIP								0.4	0.1
ENSG00000115170	ACVR1	5	2	2	7	8	4	5	8	6
ENSG00000115183	TANC1	9	3	4	4	4	2	6	3	2
ENSG00000115194	SLC30A3		0.3	0.6	0.3			0.2		0.1
ENSG00000115204	MPV17	4	6	9	6	4	4	8	7	5
ENSG00000115207	GTF3C2	15	14	15	11	12	14	17	16	12
ENSG00000115211	EIF2B4	5	5	10	7	3	7	8	7	6
ENSG00000115216	NRBP1	14	16	46	21	17	22	18	18	21
ENSG00000115221	ITGB6	102	6	0.1	0.1	3	1	42	1	11
ENSG00000115226	FNDC4	3	0.7	3	3	0.9		0.2	6	0.4
ENSG00000115232	ITGA4	0.2								0.1
ENSG00000115233	PSMD14	11	15	19	20	20	15	11	19	11
ENSG00000115234	SNX17	19	13	37	32	27	26	28	40	28
ENSG00000115239	ASB3	0.6	0.6	0.7	0.5	0.4	0.5	0.8	0.7	0.5
ENSG00000115241	PPM1G	57	57	95	90	58	58	101	98	57
ENSG00000115252	PDE1A			0.1						
ENSG00000115255	REEP6	5	7	12	10	3	2	5	6	8
ENSG00000115257	PCSK4	0.6	0.6	0.4	2	0.9	0.3	0.1	0.3	1
ENSG00000115266	APC2	0.2	0.3	2	0.7	0.6	0.2	0.3	0.4	0.2
ENSG00000115267	IFIH1	6	4	1	2	4	3	0.4	1	6
ENSG00000115268	RPS15	81	71	153	76	75	83	74	77	90
ENSG00000115271	GCA	6	5		4	3	3	2	4	7
ENSG00000115274	INO80B	0.8	2	0.8	1	0.9	0.7	0.8	1	1
ENSG00000115275	MOGS	18	38	32	29	42	24	40	26	22
ENSG00000115282	TTC31	7	13	4	8	7	7	9	7	8
ENSG00000115286	NDUFS7	4	3	6	5	6	3	4	5	4
ENSG00000115289	PCGF1	3	9	9	4	7	4	7	7	5
ENSG00000115290	GRB14	0.5	1		0.1	0.6	2	0.3	0.1	0.2
ENSG00000115295	CLIP4	6	4	3	9	6	3	4	2	10
ENSG00000115297	TLX2		0.1					0.1	0.1	
ENSG00000115306	SPTBN1	90	18	18	75	37	53	35	44	33
ENSG00000115307	AUP1	55	75	44	45	60	37	67	85	51
ENSG00000115310	RTN4	34	26	50	67	55	50	64	89	45
ENSG00000115317	HTRA2	5	10	10	7	8	7	11	8	9
ENSG00000115318	LOXL3	0.3	1	0.2	0.8	0.9	0.2	2	0.4	2
ENSG00000115325	DOK1	3	1	2	4	2	0.8	1	2	21
ENSG00000115339	GALNT3	37	10		1	28	20	16	11	16
ENSG00000115350	POLE4	9	20	11	13	21	13	32	14	16
ENSG00000115355	CCDC88A	4	1	13	12	8	2	9	11	2
ENSG00000115361	ACADL	0.2	0.1		0.1			0.1		0.1
ENSG00000115363	EVA1A	0.5	3		0.1		2	5	0.2	5
ENSG00000115364	MRPL19	10	22	20	11	12	13	14	8	9
ENSG00000115365	LANCL1	11	8	24	16	10	8	6	5	12
ENSG00000115368	WDR75	10	14	19	11	12	11	10	14	9
ENSG00000115380	EFEMP1	0.4	12				37	22	7	5
ENSG00000115386	REG1A	0.1								
ENSG00000115392	FANCL	9	17	8	9	9	8	11	9	11
ENSG00000115414	FN1	11	14	0.1	5	28	399	9	5	8
ENSG00000115415	STAT1	31	23	22	21	23	15	14	21	32
ENSG00000115419	GLS	6	4	10	18	18	9	16	23	5
ENSG00000115421	PAPOLG	2	4	2	2	2	2	2	1	2
ENSG00000115423	DNAH6	0.1	0.3							0.2
ENSG00000115425	PECR	2	1	4	1	0.6	2	0.8	9	3
ENSG00000115446	UNC50	8	12	12	10	15	11	10	11	14
ENSG00000115457	IGFBP2	0.1	7	0.4	21		0.1	4	0.2	7
ENSG00000115459	ELMOD3	1	2	1	1	3	1	1	2	2
ENSG00000115461	IGFBP5	189	25	0.3	0.6		4	1		1
ENSG00000115464	USP34	7	8	11	7	4	4	9	5	4
ENSG00000115468	EFHD1		2	0.4	0.1	0.1	0.1			0.1
ENSG00000115484	CCT4	74	187	221	120	77	97	121	101	95
ENSG00000115486	GGCX	5	10	6	6	5	3	8	6	5
ENSG00000115488	NEU2		0.1				0.1			
ENSG00000115504	EHBP1	4	11	21	7	9	5	12	15	4
ENSG00000115507	OTX1	1	1	0.9	1	0.5	0.6	0.9	1	0.9
ENSG00000115514	TXNDC9	12	19	13	20	15	11	14	15	14
ENSG00000115520	COQ10B	8	7	10	7	10	8	6	8	8
ENSG00000115523	GNLY						0.1			
ENSG00000115524	SF3B1	47	33	63	38	40	36	35	39	39
ENSG00000115525	ST3GAL5	0.5	4	1	3	4	5	2	3	2
ENSG00000115526	CHST10	0.5	3	3	3	3		4	5	3
ENSG00000115539	PDCL3	9	22	19	16	13	18	16	13	17
ENSG00000115540	MOB4	8	8	10	6	10	9	6	8	11
ENSG00000115541	HSPE1	67	105	112	59	96	91	63	179	103
ENSG00000115548	KDM3A	5	5	6	3	6	3	4	2	4
ENSG00000115556	PLCD4	0.8	1	1	1	0.8	0.5	0.6	1	0.5
ENSG00000115561	CHMP3	14	19	9	15	28	15	13	15	18
ENSG00000115568	ZNF142	5	7	6	5	6	5	6	7	4
ENSG00000115590	IL1R2	15	2	0.1			10	0.9	0.3	0.1
ENSG00000115594	IL1R1	2	3	19	0.3	0.9	0.6	0.3	0.3	1
ENSG00000115596	WNT6	0.2	0.6	0.1				0.2		0.1
ENSG00000115598	IL1RL2						2		0.6	
ENSG00000115602	IL1RL1	0.8	0.1		0.4	0.2	0.4	43		
ENSG00000115604	IL18R1	1	1	0.1	0.1	0.2	1	3	0.6	0.6
ENSG00000115616	SLC9A2	2	3		0.2	0.2	2	2	5	0.6
ENSG00000115641	FHL2	20	17	8	13	6	20	20	19	16
ENSG00000115648	MLPH	12	5	4	8	22	10	6	14	14
ENSG00000115649	CNPPD1	19	17	19	24	24	20	22	22	26
ENSG00000115652	UXS1	2	7	5	10	11	6	10	6	8
ENSG00000115657	ABCB6	0.9	1	1	3	2	1	2	1	1
ENSG00000115661	STK16	4	4	6	4	7	4	4	7	9
ENSG00000115665	SLC5A7									0.1
ENSG00000115677	HDLBP	60	43	123	60	77	39	50	66	59
ENSG00000115685	PPP1R7	14	14	18	10	25	16	12	18	21
ENSG00000115687	PASK	3	2	2	3	3	3	3	2	2
ENSG00000115694	STK25	13	9	18	15	13	10	14	17	14
ENSG00000115705	TPO		0.1				0.1			
ENSG00000115718	PROC	0.3	0.2		0.2	0.3	0.4	0.2	0.4	1
ENSG00000115738	ID2	14	0.4	12	0.1	0.1	3	0.5	7	15
ENSG00000115750	TAF1B	2	6	4	6	3	4	8	6	5
ENSG00000115756	HPCAL1	10	9	19	49	50	18	8	34	22
ENSG00000115758	ODC1	43	33	109	138	54	169	75	132	47
ENSG00000115760	BIRC6	7	6	13	8	8	4	11	6	6
ENSG00000115761	NOL10	11	18	24	15	10	10	16	14	10
ENSG00000115762	PLEKHB2	29	24	32	33	26	24	18	47	21
ENSG00000115806	GORASP2	21	18	15	18	31	19	19	30	27
ENSG00000115808	STRN	7	6	10	8	6	6	8	5	4
ENSG00000115816	CEBPZ	22	20	31	25	17	13	24	25	24
ENSG00000115825	PRKD3	6	2	4	6	6	0.1	7	5	4
ENSG00000115827	DCAF17	2	2	3	4	3	4	2	3	2
ENSG00000115828	QPCT	3	3	3			0.1	2	3	3
ENSG00000115839	RAB3GAP1	14	11	17	13	18	13	10	12	14
ENSG00000115840	SLC25A12	2	3	7	4	5	3	7	4	3
ENSG00000115841	RMDN2	0.5	0.4	0.5	0.7	0.5	0.2	0.5	0.5	0.4
ENSG00000115844	DLX2	0.1	0.3	0.7	0.6	0.1	0.2	0.5	0.2	0.1
ENSG00000115866	DARS	25	25	52	26	36	23	23	21	25
ENSG00000115875	SRSF7	48	47	56	43	39	40	44	49	50
ENSG00000115884	SDC1	31	66	24	29	70	71	187	220	77
ENSG00000115896	PLCL1	0.1	0.1							0.1
ENSG00000115902	SLC1A4	2	4	2	7	6	2	3	0.2	3
ENSG00000115904	SOS1	4	4	8	6	5	4	5	3	5
ENSG00000115919	KYNU	0.2	0.4	0.1	0.9	3	0.1	0.5	1	2
ENSG00000115935	WIPF1	0.2	0.1	0.1	4	0.2	0.1	0.4	3	0.9
ENSG00000115942	ORC2	7	5	11	5	7	7	5	7	6
ENSG00000115944	COX7A2L	12	12	15	9	7	8	11	15	13
ENSG00000115946	PNO1	10	29	20	16	12	15	16	19	10
ENSG00000115947	ORC4	4	7	6	3	4	3	3	3	5
ENSG00000115956	PLEK			0.1					0.1	0.1
ENSG00000115963	RND3	26	21	0.1	39	39	37	17	20	32
ENSG00000115966	ATF2	7	5	12	7	9	5	4	8	7
ENSG00000115970	THADA	3	3	6	3	3	3	3	3	3
ENSG00000115977	AAK1	0.8	0.9	0.9	0.8	0.5	0.6	1	0.7	0.2
ENSG00000115993	TRAK2	6	4	8	16	11	11	4	6	4
ENSG00000115998	C2orf42	1	3	3	2	2	2	2	2	2
ENSG00000116001	TIA1	9	14	11	10	7	7	9	7	10
ENSG00000116005	PCYOX1	9	19	26	19	10	15	16	8	19
ENSG00000116014	KISS1R	1	0.1				0.1	0.4		0.1
ENSG00000116016	EPAS1	22	16	0.1	12	4	9	79	19	17
ENSG00000116017	ARID3A	1	2	6	2	0.5	6	0.8	0.8	2
ENSG00000116030	SUMO1	40	49	86	34	40	42	29	41	55
ENSG00000116031	CD207		0.1	0.2	0.5					
ENSG00000116032	GRIN3B	0.3	0.4	0.4	0.3	0.6	0.6	0.1	0.5	0.1
ENSG00000116035	VAX2		0.4	1	2	0.6	0.2		0.3	2
ENSG00000116039	ATP6V1B1	0.1	1	0.4	0.5	0.4	0.3	0.3	0.1	0.7
ENSG00000116044	NFE2L2	25	19	15	18	24	14	10	17	18
ENSG00000116062	MSH6	10	13	24	14	14	11	13	10	13
ENSG00000116095	PLEKHA3	1	0.9	0.7	1	0.9	0.6	0.5	0.9	1
ENSG00000116096	SPR	28	48	38	26	18	40	48	45	42
ENSG00000116106	EPHA4	2	1	25	3		4	3	3	5
ENSG00000116117	PARD3B	1	0.2		2		0.4			0.7
ENSG00000116120	FARSB	16	29	56	19	20	24	22	31	16
ENSG00000116127	ALMS1	2	5	5	4	4	2	3	1	2
ENSG00000116128	BCL9	5	7	10	4	4	1	4	3	7
ENSG00000116132	PRRX1		0.1							
ENSG00000116133	DHCR24	84	115	70	142	35	89	148	65	73
ENSG00000116138	DNAJC16	4	4	4	3	2	2	3	2	2
ENSG00000116141	MARK1	0.2	4		0.1			3		0.6
ENSG00000116147	TNR		0.1				0.1			
ENSG00000116151	MORN1	0.5	2	0.7	0.5	0.7	0.7	0.7	1	5
ENSG00000116157	GPX7	0.6								0.5
ENSG00000116161	CACYBP	33	43	46	25	25	26	35	33	22
ENSG00000116171	SCP2	10	8	11	10	4	8	8	12	8
ENSG00000116176	TPSG1								0.2	
ENSG00000116191	RALGPS2	9	7	0.5	7	5	24	4	6	4
ENSG00000116194	ANGPTL1						0.1			
ENSG00000116198	CEP104	4	7	6	5	4	8	4	3	3
ENSG00000116199	FAM20B	31	13	18	12	13	12	17	14	12
ENSG00000116205	TCEANC2	2	2	3	2	1	2	1	1	1
ENSG00000116209	TMEM59	33	20	23	27	16	32	19	21	31
ENSG00000116212	LRRC42	13	17	18	15	16	24	16	14	16
ENSG00000116213	WRAP73	4	4	3	4	1	7	3	2	3
ENSG00000116221	MRPL37	36	62	79	46	25	44	44	37	30
ENSG00000116237	ICMT	27	43	28	37	23	51	30	35	27
ENSG00000116251	RPL22	66	101	133	51	27	96	64	46	59
ENSG00000116254	CHD5	0.1	0.1	9	0.1		0.2	0.1	3	0.1
ENSG00000116260	QSOX1	95	12	12	36	34	64	60	63	67
ENSG00000116266	STXBP3	7	8	11	3	4	7	4	3	5
ENSG00000116273	PHF13	10	8	13	11	5	10	7	6	7
ENSG00000116285	ERRFI1	28	60	201	29	26	111	22	10	47
ENSG00000116288	PARK7	59	105	146	71	45	103	82	56	66
ENSG00000116299	KIAA1324		1		0.2	0.3	0.2	0.1	0.1	0.1
ENSG00000116329	OPRD1									0.1
ENSG00000116337	AMPD2	6	7	11	5	7	6	6	5	4
ENSG00000116350	SRSF4	35	24	52	35	20	32	33	22	20
ENSG00000116353	MECR	5	6	5	5	3	5	6	4	5
ENSG00000116396	KCNC4	1	1	0.6	0.2	0.4	0.7	0.9	1	0.5
ENSG00000116406	EDEM3	12	6	7	5	8	5	7	10	3
ENSG00000116455	WDR77	14	25	17	9	7	18	20	13	9
ENSG00000116459	ATP5F1	37	61	61	24	24	45	46	42	36
ENSG00000116473	RAP1A	10	9	13	5	5	8	9	5	5
ENSG00000116478	HDAC1	70	87	95	41	29	75	54	46	62
ENSG00000116489	CAPZA1	58	48	82	35	42	53	48	53	37
ENSG00000116497	S100PBP	2	3	4	3	2	2	2	1	1
ENSG00000116514	RNF19B	13	22	8	10	7	11	10	18	8
ENSG00000116521	SCAMP3	34	34	26	35	37	21	26	32	27
ENSG00000116525	TRIM62	3	5	2	4	1	3	3	0.8	2
ENSG00000116539	ASH1L	10	8	14	8	14	3	10	6	5
ENSG00000116544	DLGAP3	0.1	0.1	0.5			0.1			
ENSG00000116560	SFPQ	48	62	58	51	43	43	53	54	46
ENSG00000116574	RHOU	0.7	1	1	2	0.3	7	0.4	9	3
ENSG00000116580	GON4L	7	5	6	6	6	3	4	3	4
ENSG00000116584	ARHGEF2	9	6	10	11	26	12	7	15	7
ENSG00000116586	LAMTOR2	21	17	17	12	19	15	15	19	22
ENSG00000116604	MEF2D	13	9	10	10	19	11	6	11	8
ENSG00000116641	DOCK7	5	4	10	7	6	6	4	1	2
ENSG00000116649	SRM	37	48	64	61	26	78	54	57	24
ENSG00000116652	DLEU2L	0.1	0.1	0.1	0.1		0.1	0.1		
ENSG00000116661	FBXO2	1	0.8	4	9	1	6	2	5	8
ENSG00000116663	FBXO6	2	3	8	0.6	0.7	5	1	2	4
ENSG00000116667	C1orf21		0.8		0.9	0.3			0.4	0.3
ENSG00000116668	SWT1	0.8	0.8	0.9	0.7	0.4	0.7	0.4	0.4	0.8
ENSG00000116670	MAD2L2	4	9	20	22	10	9	7	7	7
ENSG00000116675	DNAJC6	0.1	2	0.2	0.6	0.2	1	0.1	0.2	0.1
ENSG00000116678	LEPR	0.6	0.8	0.4	1	0.8	0.5	0.2	0.2	0.4
ENSG00000116679	IVNS1ABP	26	19	11	8	10	8	15	11	9
ENSG00000116685	KIAA2013	19	17	20	34	19	20	21	23	17
ENSG00000116688	MFN2	33	54	58	53	23	40	62	36	21
ENSG00000116691	MIIP	9	8	8	12	4	11	7	7	6
ENSG00000116698	SMG7	21	26	18	13	15	14	22	18	13
ENSG00000116701	NCF2	2	2	0.1		0.1	4	0.3	0.6	1
ENSG00000116703	PDC			0.1				0.1		
ENSG00000116704	SLC35D1	2	4	7	2	3	3	5	6	1
ENSG00000116711	PLA2G4A	10	2		2	0.7	1	6		0.6
ENSG00000116717	GADD45A	21	20	11	21	10	32	16	16	17
ENSG00000116729	WLS	10	8	3	14	8	6	9	7	8
ENSG00000116731	PRDM2	5	4	4	5	2	2	3	2	3
ENSG00000116741	RGS2	2	24	0.6	1	0.9	6	5	57	14
ENSG00000116745	RPE65		0.6	0.1	3		2			
ENSG00000116747	TROVE2	5	5	8	4	4	3	3	3	3
ENSG00000116750	UCHL5	10	10	13	7	8	7	10	8	5
ENSG00000116752	BCAS2	24	45	42	18	13	29	29	17	19
ENSG00000116754	SRSF11	20	19	24	11	11	19	15	14	12
ENSG00000116761	CTH	8	4	10	0.6	0.4	5	0.1	0.2	1
ENSG00000116771	AGMAT	6	3	0.1	0.4	2	3	11	11	0.7
ENSG00000116774	OLFML3		16	0.3			3		0.1	2
ENSG00000116785	CFHR3		0.2				0.1			0.1
ENSG00000116786	PLEKHM2	17	19	25	30	16	16	16	16	12
ENSG00000116791	CRYZ	9	12	16	8	8	4	4	11	6
ENSG00000116793	PHTF1	2	2	2	4	3	2	1	1	5
ENSG00000116809	ZBTB17	5	4	3	7	4	4	4	4	4
ENSG00000116815	CD58	4	12	4	8	10	9	8	6	5
ENSG00000116819	TFAP2E	1	0.5	0.2	0.4		0.1	0.5	0.3	1
ENSG00000116830	TTF2	6	8	7	3	8	9	8	4	3
ENSG00000116833	NR5A2	0.1	3	2	0.3	0.7	1	0.4	5	
ENSG00000116852	KIF21B	5	0.6	0.2	0.2	1	0.1	0.6	0.4	0.7
ENSG00000116857	TMEM9	13	21	17	7	4	7	18	9	12
ENSG00000116863	ADPRHL2	19	23	11	18	9	21	19	11	33
ENSG00000116871	MAP7D1	30	29	24	44	24	41	37	21	39
ENSG00000116874	WARS2	5	6	4	2	2	4	5	2	2
ENSG00000116883	RP11-268J15.5	1	2	2	2	0.7	4	0.7	6	1
ENSG00000116885	OSCP1	0.3	4	2	0.8	0.7	0.8	0.5	0.3	3
ENSG00000116898	MRPS15	13	32	23	14	9	26	18	15	33
ENSG00000116903	EXOC8	6	5	3	4	5	2	3	4	3
ENSG00000116906	GNPAT	20	16	24	15	13	8	10	12	16
ENSG00000116918	TSNAX	5	6	7	3	3	3	4	5	6
ENSG00000116922	C1orf109	4	7	5	5	3	5	4	3	6
ENSG00000116954	RRAGC	2	5	4	4	2	3	2	2	4
ENSG00000116957	TBCE	14	13	27	12	9	5	7	17	14
ENSG00000116962	NID1	0.5	2				0.1	28	37	7
ENSG00000116977	LGALS8	6	8	5	5	5	4	10	3	6
ENSG00000116981	NT5C1A		0.1	0.6						
ENSG00000116983	HPCAL4		0.3	0.4	0.1		0.7			0.1
ENSG00000116984	MTR	8	3	8	7	10	4	7	6	4
ENSG00000116985	BMP8B	0.8	2	2	0.6	0.8	0.6	0.6	0.2	2
ENSG00000116990	MYCL	0.9	1	0.7	0.1	0.1	3	1	0.1	0.8
ENSG00000116991	SIPA1L2	0.1	2	0.3	0.7	0.8	0.1	1	0.9	0.4
ENSG00000117000	RLF	5	8	7	5	4	4	5	2	3
ENSG00000117009	KMO		0.7		0.3	0.1			0.1	
ENSG00000117010	ZNF684	0.6	1	1	1	0.5	0.6	0.4	0.7	3
ENSG00000117013	KCNQ4	2	0.4	3	0.6		0.6	0.1	0.1	2
ENSG00000117016	RIMS3	0.2	0.6	3	1	0.1	1	0.2	0.1	1
ENSG00000117020	AKT3	4	4	2	5	5	6	0.2	3	0.2
ENSG00000117036	ETV3	11	9	5	6	11	5	5	7	5
ENSG00000117054	ACADM	10	5	14	4	5	10	9	5	4
ENSG00000117069	ST6GALNAC5		2		0.5					0.1
ENSG00000117114	ADGRL2	0.7	2		2	0.2	17	0.3		3
ENSG00000117115	PADI2	0.2	7	0.1	13	0.4	1	0.3	0.3	0.8
ENSG00000117118	SDHB	26	38	49	40	19	36	37	31	22
ENSG00000117122	MFAP2	0.8	0.5				0.3	1	0.3	2
ENSG00000117133	RPF1	31	27	19	11	8	22	18	12	11
ENSG00000117139	KDM5B	8	9	12	5	2	3	8	1	5
ENSG00000117143	UAP1	48	11	101	60	42	16	16	23	7
ENSG00000117148	ACTL8	0.2	0.4	0.3	0.2					
ENSG00000117151	CTBS	3	2	3	2	1	1	1	1	2
ENSG00000117152	RGS4	0.1		204	11	0.9	4		0.5	
ENSG00000117153	KLHL12	16	17	20	10	14	6	14	11	9
ENSG00000117155	SSX2IP	5	6	7	3	3	2	3	2	2
ENSG00000117174	ZNHIT6	4	9	7	6	6	7	9	5	3
ENSG00000117222	RBBP5	10	11	14	6	7	5	8	7	5
ENSG00000117226	GBP3	17	8	0.7	23	1	1	4	10	1
ENSG00000117228	GBP1	8	9	0.2	6	3	0.2	0.4	0.7	4
ENSG00000117242	PINK1-AS	1	1	1	1	0.7	4	2	0.9	1
ENSG00000117245	KIF17		0.2	0.1	0.6		0.1		0.1	0.2
ENSG00000117262	GPR89A	1	0.8	1	1	1	0.5	0.9	1	0.8
ENSG00000117266	CDK18	6	4	0.4	1	0.2	3	4	6	3
ENSG00000117280	RAB29	5	7	7	7	2	2	9	2	4
ENSG00000117281	CD160	0.1		0.1	0.1	0.1				
ENSG00000117298	ECE1	26	19	47	118	85	56	25	43	37
ENSG00000117305	HMGCL	4	4	3	3	2	4	3	2	5
ENSG00000117308	GALE	14	16	7	16	12	18	19	20	19
ENSG00000117318	ID3	44	14	80	0.3	0.3	10	7	0.9	0.9
ENSG00000117322	CR2		0.5							0.1
ENSG00000117335	CD46	52	29	16	16	23	20	25	23	27
ENSG00000117360	PRPF3	18	12	17	13	14	9	9	9	12
ENSG00000117362	APH1A	79	58	55	44	78	36	53	50	76
ENSG00000117385	P3H1	2	4	12	13	4	4	3	6	3
ENSG00000117394	SLC2A1	74	41	19	85	94	147	78	79	163
ENSG00000117395	EBNA1BP2	20	48	69	48	25	46	41	33	21
ENSG00000117399	CDC20	103	123	145	115	74	125	84	72	51
ENSG00000117400	MPL	0.1	0.2		0.1	0.1	0.3	0.1	0.1	0.1
ENSG00000117407	ARTN	0.3	12	0.6	0.7	0.7	2	0.6	0.4	1
ENSG00000117408	IPO13	4	11	8	12	6	7	6	6	5
ENSG00000117410	ATP6V0B	16	23	14	21	9	13	16	15	12
ENSG00000117411	B4GALT2	15	15	18	19	15	17	19	14	10
ENSG00000117419	ERI3	13	22	21	20	12	15	16	10	15
ENSG00000117425	PTCH2		0.1	0.5	0.2		0.1			
ENSG00000117448	AKR1A1	15	14	14	10	8	13	13	11	28
ENSG00000117450	PRDX1	191	278	459	268	118	140	182	167	92
